,Model,Target,Test_Year,Train_Years,Train_Rows,Test_Rows,Train_Time_Seconds,Accuracy,Balanced_Acc,F1,Baseline_Acc,Skill
178,xgboost,Gold-T+21,2017,2013–2016,990,246,5.9063,0.44715447154471544,0.5310344827586206,0.35725812648889577,0.5894308943089431,-0.3465346534653467
179,xgboost,Gold-T+21,2018,2014–2017,988,247,7.0626,0.5870445344129555,0.5990207833733013,0.586875245966155,0.562753036437247,0.055555555555555566
180,xgboost,Gold-T+21,2019,2015–2018,989,248,7.0081,0.4637096774193548,0.5316588705850451,0.4337996738477384,0.6008064516129032,-0.3434343434343436
181,xgboost,Gold-T+21,2020,2016–2019,988,251,6.3481,0.36254980079681276,0.38865248226950355,0.345075016307893,0.5617529880478087,-0.45454545454545436
182,xgboost,Gold-T+21,2021,2017–2020,992,251,6.1576,0.5219123505976095,0.5346613292667429,0.4056827150749802,0.5139442231075697,0.016393442622950803
183,xgboost,Gold-T+21,2022,2018–2021,997,250,6.2367,0.624,0.6264124293785311,0.6239759344598055,0.528,0.20338983050847453
184,xgboost,Gold-T+21,2023,2019–2022,1000,247,6.3772,0.5384615384615384,0.5739334301941619,0.46597633136094674,0.5425101214574899,-0.008849557522123977
185,xgboost,Gold-T+21,2024,2020–2023,999,249,6.2483,0.25301204819277107,0.5,0.20192307692307693,0.7469879518072289,-1.952380952380952
186,xgboost,Gold-T+21,2025,2021–2024,997,177,6.0193,0.6666666666666666,0.6816125051419168,0.6048658670399939,0.807909604519774,-0.735294117647059
187,mlp,Gold-T+21,2015,2011–2014,989,249,5.4153,0.5742971887550201,0.5,0.3647959183673469,0.5742971887550201,0.0
188,mlp,Gold-T+21,2016,2012–2015,987,247,5.3158,0.4331983805668016,0.5,0.3022598870056497,0.5668016194331984,-0.3084112149532711
189,mlp,Gold-T+21,2017,2013–2016,990,246,5.5462,0.4105691056910569,0.5,0.2910662824207493,0.5894308943089431,-0.43564356435643575
190,mlp,Gold-T+21,2018,2014–2017,988,247,6.5406,0.5668016194331984,0.505662136957101,0.378331333944911,0.562753036437247,0.009259259259259345
191,mlp,Gold-T+21,2019,2015–2018,989,248,15.3449,0.5080645161290323,0.5414548166226019,0.5064918118353233,0.6008064516129032,-0.2323232323232324
192,mlp,Gold-T+21,2020,2016–2019,988,251,6.9709,0.5657370517928287,0.5045454545454545,0.369622819750697,0.5617529880478087,0.009090909090909335
193,mlp,Gold-T+21,2021,2017–2020,992,251,6.1326,0.4860557768924303,0.47442495869869106,0.36928531078948906,0.5139442231075697,-0.057377049180327815
194,mlp,Gold-T+21,2022,2018–2021,997,250,8.5892,0.468,0.4957627118644068,0.3188010899182561,0.528,-0.1271186440677966
195,mlp,Gold-T+21,2023,2019–2022,1000,247,7.3631,0.5425101214574899,0.5,0.35170603674540685,0.5425101214574899,0.0
196,mlp,Gold-T+21,2024,2020–2023,999,249,6.7956,0.25301204819277107,0.5,0.20192307692307693,0.7469879518072289,-1.952380952380952
197,mlp,Gold-T+21,2025,2021–2024,997,177,17.3901,0.5536723163841808,0.6228918140682846,0.5182428940568475,0.807909604519774,-1.3235294117647058
198,ridge,Gold-T+28,2015,2011–2014,989,249,3.0556,0.6224899598393574,0.5512204881952781,0.5006400409626216,0.5903614457831325,0.0784313725490195
199,ridge,Gold-T+28,2016,2012–2015,987,247,2.8617,0.708502024291498,0.7134322478991597,0.7049767750497677,0.5182186234817814,0.39495798319327735
200,ridge,Gold-T+28,2017,2013–2016,990,246,2.8464,0.3780487804878049,0.5,0.2743362831858407,0.6219512195121951,-0.6451612903225806
201,ridge,Gold-T+28,2018,2014–2017,988,247,2.8744,0.5384615384615384,0.5477609962904081,0.5378479516806722,0.5506072874493927,-0.027027027027027032
202,ridge,Gold-T+28,2019,2015–2018,989,248,2.8592,0.5564516129032258,0.5799129561432876,0.5557292684515667,0.5846774193548387,-0.06796116504854391
203,ridge,Gold-T+28,2020,2016–2019,988,251,2.8975,0.6374501992031872,0.6606132385840242,0.6374501992031872,0.5936254980079682,0.10784313725490187
204,ridge,Gold-T+28,2021,2017–2020,992,251,2.7845,0.6653386454183267,0.644096555256755,0.634415314190595,0.545816733067729,0.2631578947368421
205,ridge,Gold-T+28,2022,2018–2021,997,250,2.9765,0.676,0.6754352278545828,0.6741177038574808,0.504,0.3467741935483872
206,ridge,Gold-T+28,2023,2019–2022,1000,247,2.8045,0.611336032388664,0.629309206181482,0.6013986013986015,0.5425101214574899,0.15044247787610615
207,ridge,Gold-T+28,2024,2020–2023,999,249,2.497,0.27710843373493976,0.5360698945724326,0.2641843971631206,0.7911646586345381,-2.461538461538461
208,ridge,Gold-T+28,2025,2021–2024,997,177,2.6363,0.7062146892655368,0.719686875416389,0.5801094890510949,0.8926553672316384,-1.7368421052631573
209,et,Gold-T+28,2015,2011–2014,989,249,2.7078,0.40963855421686746,0.5,0.2905982905982906,0.5903614457831325,-0.4411764705882354
210,et,Gold-T+28,2016,2012–2015,987,247,3.2916,0.5668016194331984,0.5814403886554622,0.49343530178444783,0.5182186234817814,0.10084033613445381
211,et,Gold-T+28,2017,2013–2016,990,246,3.3494,0.3902439024390244,0.5098039215686274,0.2960164835164835,0.6219512195121951,-0.6129032258064515
212,et,Gold-T+28,2018,2014–2017,988,247,2.6856,0.5506072874493927,0.5,0.35509138381201044,0.5506072874493927,0.0
213,et,Gold-T+28,2019,2015–2018,989,248,3.0592,0.5403225806451613,0.5604954804151323,0.5400533610984577,0.5846774193548387,-0.10679611650485456
214,et,Gold-T+28,2020,2016–2019,988,251,3.2718,0.6374501992031872,0.6667982629293328,0.6370815259704149,0.5936254980079682,0.10784313725490187
215,et,Gold-T+28,2021,2017–2020,992,251,3.2195,0.4541832669322709,0.5,0.31232876712328766,0.545816733067729,-0.20175438596491221
216,et,Gold-T+28,2022,2018–2021,997,250,3.4005,0.532,0.5293778801843317,0.4740249231267195,0.504,0.05645161290322586
217,et,Gold-T+28,2023,2019–2022,1000,247,3.3136,0.4817813765182186,0.45789856029586584,0.4227286006427111,0.5425101214574899,-0.13274336283185845
218,et,Gold-T+28,2024,2020–2023,999,249,2.7029,0.7911646586345381,0.5,0.44170403587443946,0.7911646586345381,0.0
219,et,Gold-T+28,2025,2021–2024,997,177,2.7065,0.8926553672316384,0.5,0.4716417910447761,0.8926553672316384,0.0
220,rf,Gold-T+28,2015,2011–2014,989,249,6.2994,0.40963855421686746,0.5,0.2905982905982906,0.5903614457831325,-0.4411764705882354
221,rf,Gold-T+28,2016,2012–2015,987,247,6.317,0.5182186234817814,0.5,0.3413333333333333,0.5182186234817814,0.0
222,rf,Gold-T+28,2017,2013–2016,990,246,7.4249,0.4065040650406504,0.5228758169934641,0.32387048192771084,0.6219512195121951,-0.5698924731182796
223,rf,Gold-T+28,2018,2014–2017,988,247,8.3716,0.6720647773279352,0.6690845257021727,0.6689391557592705,0.5506072874493927,0.27027027027027034
224,rf,Gold-T+28,2019,2015–2018,989,248,7.8682,0.6008064516129032,0.6389353866755942,0.5952722417288957,0.5846774193548387,0.03883495145631065
225,rf,Gold-T+28,2020,2016–2019,988,251,6.9655,0.5936254980079682,0.5,0.3725,0.5936254980079682,0.0
226,rf,Gold-T+28,2021,2017–2020,992,251,12.392,0.5976095617529881,0.577634780381611,0.5657365058156466,0.545816733067729,0.11403508771929838
227,rf,Gold-T+28,2022,2018–2021,997,250,7.1796,0.504,0.5,0.3351063829787234,0.504,0.0
228,rf,Gold-T+28,2023,2019–2022,1000,247,12.5715,0.4979757085020243,0.4936269977545899,0.49358465608465607,0.5425101214574899,-0.0973451327433629
229,rf,Gold-T+28,2024,2020–2023,999,249,7.2696,0.7911646586345381,0.5,0.44170403587443946,0.7911646586345381,0.0
230,rf,Gold-T+28,2025,2021–2024,997,177,6.9647,0.8926553672316384,0.5,0.4716417910447761,0.8926553672316384,0.0
231,catboost,Gold-T+28,2015,2011–2014,989,249,58.5449,0.6184738955823293,0.6363545418167267,0.6183754134064693,0.5903614457831325,0.0686274509803922
232,catboost,Gold-T+28,2016,2012–2015,987,247,60.3324,0.5870445344129555,0.6012670693277311,0.5221893491124261,0.5182186234817814,0.14285714285714282
233,catboost,Gold-T+28,2017,2013–2016,990,246,56.74,0.45528455284552843,0.5620915032679739,0.40109011627906976,0.6219512195121951,-0.4408602150537635
234,catboost,Gold-T+28,2018,2014–2017,988,247,64.8502,0.5910931174089069,0.6104597244303127,0.5841126948403768,0.5506072874493927,0.0900900900900902
235,catboost,Gold-T+28,2019,2015–2018,989,248,61.1977,0.5645161290322581,0.592433880147305,0.5626959247648903,0.5846774193548387,-0.04854368932038831
236,catboost,Gold-T+28,2020,2016–2019,988,251,61.2797,0.6573705179282868,0.6665679694696671,0.6553959131545338,0.5936254980079682,0.15686274509803907
237,catboost,Gold-T+28,2021,2017–2020,992,251,63.7368,0.5976095617529881,0.5636445127417082,0.5102675552979813,0.545816733067729,0.11403508771929838
238,catboost,Gold-T+28,2022,2018–2021,997,250,60.2574,0.604,0.6024705581157194,0.5881795038186992,0.504,0.2016129032258064
239,catboost,Gold-T+28,2023,2019–2022,1000,247,75.8999,0.44534412955465585,0.4277836481310263,0.4105628037415736,0.5425101214574899,-0.21238938053097353
240,catboost,Gold-T+28,2024,2020–2023,999,249,57.908,0.5783132530120482,0.5707243264349864,0.521197692519,0.7911646586345381,-1.019230769230769
241,catboost,Gold-T+28,2025,2021–2024,997,177,57.9193,0.903954802259887,0.6683877415056629,0.699490662139219,0.8926553672316384,0.10526315789473689
242,xgboost,Gold-T+28,2015,2011–2014,989,249,6.0744,0.5903614457831325,0.5,0.3712121212121212,0.5903614457831325,0.0
243,xgboost,Gold-T+28,2016,2012–2015,987,247,8.1983,0.5708502024291497,0.5856420693277311,0.4963450292397661,0.5182186234817814,0.10924369747899147
244,xgboost,Gold-T+28,2017,2013–2016,990,246,6.3149,0.4186991869918699,0.5326797385620915,0.3440244652880079,0.6219512195121951,-0.5376344086021505
245,xgboost,Gold-T+28,2018,2014–2017,988,247,7.2953,0.680161943319838,0.6698131955484896,0.6706388724786903,0.5506072874493927,0.2882882882882883
246,xgboost,Gold-T+28,2019,2015–2018,989,248,6.7136,0.5524193548387096,0.6102109139604954,0.5255674473915516,0.5846774193548387,-0.07766990291262156
247,xgboost,Gold-T+28,2020,2016–2019,988,251,6.1953,0.38645418326693226,0.42910251348861694,0.3728258047767393,0.5936254980079682,-0.5098039215686275
248,xgboost,Gold-T+28,2021,2017–2020,992,251,6.3373,0.6374501992031872,0.6207580996286336,0.6154778539081833,0.545816733067729,0.20175438596491233
249,xgboost,Gold-T+28,2022,2018–2021,997,250,6.9356,0.544,0.54294674859191,0.5354068857589984,0.504,0.08064516129032265
250,xgboost,Gold-T+28,2023,2019–2022,1000,247,6.0477,0.4777327935222672,0.496466781138555,0.4606165253161343,0.5425101214574899,-0.1415929203539823
251,xgboost,Gold-T+28,2024,2020–2023,999,249,6.0971,0.20883534136546184,0.5,0.17275747508305647,0.7911646586345381,-2.7884615384615374
252,xgboost,Gold-T+28,2025,2021–2024,997,177,6.8978,0.6666666666666666,0.6743837441705529,0.5432757489612945,0.8926553672316384,-2.1052631578947367
253,mlp,Gold-T+28,2015,2011–2014,989,249,6.8198,0.5903614457831325,0.5,0.3712121212121212,0.5903614457831325,0.0
254,mlp,Gold-T+28,2016,2012–2015,987,247,7.2325,0.562753036437247,0.578125,0.47906577097328545,0.5182186234817814,0.09243697478991592
255,mlp,Gold-T+28,2017,2013–2016,990,246,5.3845,0.3780487804878049,0.5,0.2743362831858407,0.6219512195121951,-0.6451612903225806
256,mlp,Gold-T+28,2018,2014–2017,988,247,7.1947,0.43724696356275305,0.4856584525702173,0.3102083458903422,0.5506072874493927,-0.2522522522522522
257,mlp,Gold-T+28,2019,2015–2018,989,248,13.3339,0.5403225806451613,0.5464345497154335,0.5388530045018595,0.5846774193548387,-0.10679611650485456
258,mlp,Gold-T+28,2020,2016–2019,988,251,8.7155,0.5896414342629482,0.4966442953020134,0.37092731829573933,0.5936254980079682,-0.009803921568627442
259,mlp,Gold-T+28,2021,2017–2020,992,251,8.2173,0.4541832669322709,0.43741196055833015,0.42559091288732986,0.545816733067729,-0.20175438596491221
260,mlp,Gold-T+28,2022,2018–2021,997,250,7.0225,0.464,0.46697388632872505,0.3800429343400696,0.504,-0.08064516129032254
261,mlp,Gold-T+28,2023,2019–2022,1000,247,7.9194,0.5344129554655871,0.4932307489103157,0.35602711464780434,0.5425101214574899,-0.01769911504424771
262,mlp,Gold-T+28,2024,2020–2023,999,249,5.9119,0.7911646586345381,0.5,0.44170403587443946,0.7911646586345381,0.0
263,mlp,Gold-T+28,2025,2021–2024,997,177,11.6071,0.655367231638418,0.7143570952698202,0.5488655830861154,0.8926553672316384,-2.210526315789474
