,Model,Target,Test_Year,Train_Years,Train_Rows,Test_Rows,Train_Time_Seconds,Accuracy,Balanced_Acc,F1,Baseline_Acc,Skill
74,ridge,Gold-T+14,2023,2019–2022,1000,247,2.879,0.5465587044534413,0.5425573770491803,0.488839615668884,0.5060728744939271,0.0819672131147542
75,ridge,Gold-T+14,2024,2020–2023,999,249,2.8722,0.3092369477911647,0.5,0.2361963190184049,0.6907630522088354,-1.233766233766234
76,ridge,Gold-T+14,2025,2021–2024,997,177,2.8176,0.6836158192090396,0.6982664233576642,0.6377192982456141,0.7740112994350282,-0.3999999999999997
77,et,Gold-T+14,2015,2011–2014,989,249,3.3127,0.5903614457831325,0.5758284600389864,0.5693502441671188,0.5421686746987951,0.10526315789473693
78,et,Gold-T+14,2016,2012–2015,987,247,2.9755,0.44129554655870445,0.5,0.3061797752808989,0.5587044534412956,-0.26605504587155976
79,et,Gold-T+14,2017,2013–2016,990,246,3.4416,0.4105691056910569,0.5166666666666667,0.31712453335885904,0.6097560975609756,-0.5104166666666666
80,et,Gold-T+14,2018,2014–2017,988,247,3.4262,0.562753036437247,0.5830657031981801,0.5611345090813371,0.5708502024291497,-0.018867924528301803
81,et,Gold-T+14,2019,2015–2018,989,248,3.0264,0.5201612903225806,0.5672492660613095,0.5159983599835998,0.6088709677419355,-0.2268041237113403
82,et,Gold-T+14,2020,2016–2019,988,251,3.1051,0.4900398406374502,0.5362348178137653,0.4882120555626354,0.6215139442231076,-0.34736842105263155
83,et,Gold-T+14,2021,2017–2020,992,251,2.6317,0.450199203187251,0.5,0.31043956043956045,0.549800796812749,-0.22123893805309724
84,et,Gold-T+14,2022,2018–2021,997,250,3.0744,0.492,0.5,0.3297587131367292,0.508,-0.032520325203252064
85,et,Gold-T+14,2023,2019–2022,1000,247,3.256,0.4939271255060729,0.5,0.33062330623306235,0.5060728744939271,-0.024590163934426236
86,et,Gold-T+14,2024,2020–2023,999,249,3.1366,0.6907630522088354,0.5,0.4085510688836104,0.6907630522088354,0.0
87,et,Gold-T+14,2025,2021–2024,997,177,2.9981,0.7740112994350282,0.5,0.43630573248407645,0.7740112994350282,0.0
88,rf,Gold-T+14,2015,2011–2014,989,249,6.4295,0.4578313253012048,0.5,0.3140495867768595,0.5421686746987951,-0.18421052631578944
89,rf,Gold-T+14,2016,2012–2015,987,247,7.0999,0.44129554655870445,0.5,0.3061797752808989,0.5587044534412956,-0.26605504587155976
90,rf,Gold-T+14,2017,2013–2016,990,246,7.1503,0.6097560975609756,0.5,0.3787878787878788,0.6097560975609756,0.0
91,rf,Gold-T+14,2018,2014–2017,988,247,7.2708,0.6072874493927125,0.619731031714171,0.6072874493927125,0.5708502024291497,0.0849056603773585
92,rf,Gold-T+14,2019,2015–2018,989,248,7.267,0.3911290322580645,0.5,0.2811594202898551,0.6088709677419355,-0.5567010309278352
93,rf,Gold-T+14,2020,2016–2019,988,251,6.9671,0.601593625498008,0.5539473684210526,0.5526803535785572,0.6215139442231076,-0.052631578947368376
94,rf,Gold-T+14,2021,2017–2020,992,251,6.6811,0.549800796812749,0.5,0.35475578406169667,0.549800796812749,0.0
95,rf,Gold-T+14,2022,2018–2021,997,250,7.4717,0.492,0.5,0.3297587131367292,0.508,-0.032520325203252064
96,rf,Gold-T+14,2023,2019–2022,1000,247,6.7849,0.4939271255060729,0.5,0.33062330623306235,0.5060728744939271,-0.024590163934426236
