,Target,Model,Avg_Accuracy,Avg_BalAcc,Avg_F1,Avg_Skill,Avg_Folds,Avg_Train_Time_Seconds,Total_Run_Time_Seconds
0,Gold-T+7,ridge,0.5243821034583539,0.5280347946859446,0.4869169625304615,-0.15643601606245572,11,3.283909090909091,44.014
1,Gold-T+7,et,0.5003104950737434,0.5146481632799825,0.40892925477907344,-0.23468327285642057,11,2.9009,38.753
2,Gold-T+7,rf,0.5269024054367404,0.5137020129729902,0.4039232152543972,-0.15687896990341874,11,8.480099999999998,100.335
3,Gold-T+7,catboost,0.5355953221868751,0.5327548528912861,0.4939352020854809,-0.1287701962685949,11,55.572318181818176,618.353
4,Gold-T+7,xgboost,0.47850469650184235,0.5111975117060455,0.4380422247732728,-0.27984617835530856,11,9.170618181818183,107.967
5,Gold-T+7,mlp,0.5366094976677728,0.5119718265199018,0.3792088072595016,-0.10455993263813003,11,6.267036363636364,77.071
6,Gold-T+14,ridge,0.5341650007667486,0.5580879803550721,0.48791955015156335,-0.19509741696884333,11,2.855036363636364,39.572
7,Gold-T+14,et,0.5378255405243054,0.5253677194344462,0.41578889623740795,-0.14023622282968531,11,3.125845454545455,41.469
8,Gold-T+14,rf,0.5405048675111591,0.5214541743984907,0.4001570287744982,-0.1597093646202611,11,7.5058454545454545,89.56
9,Gold-T+14,catboost,0.513425291293088,0.530008843386823,0.4737575412690274,-0.2704658205580163,11,56.404300000000006,627.367
10,Gold-T+14,xgboost,0.4950248779832433,0.5277857154813069,0.4344056942644533,-0.3090192031312252,11,7.588872727272727,90.456
11,Gold-T+14,mlp,0.4840345600488975,0.49994202129630616,0.3762202528813589,-0.30291778397184355,11,7.109781818181818,86.325
12,Gold-T+21,ridge,0.5348411112885267,0.561279036757234,0.4711836955783079,-0.24267626744190773,11,2.884181818181818,40.088
13,Gold-T+21,et,0.5460997559390539,0.523166628626298,0.4045212826808329,-0.12553076492404222,11,3.1635636363636364,41.853
14,Gold-T+21,rf,0.5429687036460499,0.5292734608931221,0.41794761800655017,-0.1337110335834436,11,8.425963636363635,99.672
15,Gold-T+21,catboost,0.5651783895623977,0.588583316379892,0.5412539561358404,-0.14543348591747177,11,59.83390909090909,664.983
16,Gold-T+21,xgboost,0.49745515067402235,0.542453301178893,0.42658979934931657,-0.35219195138741544,11,6.836472727272729,82.007
17,Gold-T+21,mlp,0.48744710229952815,0.5131583538869582,0.3611387692507049,-0.4016758091524139,11,8.30948181818182,99.109
18,Gold-T+28,ridge,0.5797638105449163,0.6143216078539816,0.5422914567449589,-0.3269929990946578,11,2.8266909090909094,38.896
19,Gold-T+28,et,0.5678953466094089,0.5278013176407957,0.4304276785992762,-0.11183986140033914,11,3.0643999999999996,40.76
20,Gold-T+28,rf,0.5894784787099359,0.5365597734097665,0.44548062501324937,-0.06229761518218168,11,8.147636363636364,96.558
21,Gold-T+28,catboost,0.6002731357990767,0.5911077704898926,0.5521416026431126,-0.07651595238821712,11,61.69693636363636,685.255
22,Gold-T+28,xgboost,0.521239210671565,0.5601821640379161,0.4643771117649585,-0.49822675607010375,11,6.646118181818182,79.849
23,Gold-T+28,mlp,0.5452274867136238,0.519894180786805,0.40880303862681333,-0.31201832581339595,11,8.123554545454546,97.378
