,Model,Test_Year,Train_Years,Train_Rows,Test_Rows,Train_Time_Seconds,R2,RMSE,MAE,Total_Run_Time_Seconds,Target
205,catboost,2022,2018–2021,997,250,64.6171,0.11983225256839702,0.04145450249542262,0.03587764901376651,632.132,Gold-T+21
206,catboost,2023,2019–2022,1000,247,58.2482,-0.011882872475941886,0.035196792912792374,0.027703125471177217,632.132,Gold-T+21
207,catboost,2024,2020–2023,999,249,56.6452,-0.32981633975691005,0.03910702060722067,0.03178563982031548,632.132,Gold-T+21
208,catboost,2025,2021–2024,997,177,58.9502,-0.7072996774792815,0.05267304614310387,0.041570844945618454,632.132,Gold-T+21
209,xgboost,2015,2011–2014,989,249,26.1312,-0.018150362125158415,0.04093840418787877,0.032013004075518485,202.554,Gold-T+21
210,xgboost,2016,2012–2015,987,247,13.409,-0.09049419872230846,0.05201722697755699,0.04108019585397412,202.554,Gold-T+21
211,xgboost,2017,2013–2016,990,246,27.1127,-0.3616876085228362,0.035016838326545674,0.028395687411354228,202.554,Gold-T+21
212,xgboost,2018,2014–2017,988,247,22.0144,0.02411587263184345,0.024210931887307687,0.020451147386303072,202.554,Gold-T+21
213,xgboost,2019,2015–2018,989,248,22.9932,-0.2440057265765565,0.035818156327162634,0.02692883735704634,202.554,Gold-T+21
214,xgboost,2020,2016–2019,988,251,12.4193,-0.027345508600374657,0.043340021628527195,0.03369192747230858,202.554,Gold-T+21
215,xgboost,2021,2017–2020,992,251,10.8181,-0.10079364767712073,0.03836171127321068,0.031032244948838033,202.554,Gold-T+21
216,xgboost,2022,2018–2021,997,250,11.3392,-0.004598272219776378,0.044287911001346915,0.0370520771569692,202.554,Gold-T+21
217,xgboost,2023,2019–2022,1000,247,10.6041,-0.06113704952863652,0.0360432305270165,0.02929637102463533,202.554,Gold-T+21
218,xgboost,2024,2020–2023,999,249,10.9602,-0.3297238691006281,0.03910566090264337,0.03178312755036279,202.554,Gold-T+21
219,xgboost,2025,2021–2024,997,177,22.6518,-0.7274031903245652,0.05298225205086213,0.04166734879607506,202.554,Gold-T+21
220,mlp,2015,2011–2014,989,249,13.3483,-0.18078576881216546,0.04408699566817677,0.03440537453689891,131.674,Gold-T+21
221,mlp,2016,2012–2015,987,247,8.7921,-0.2561009747729279,0.055827450212245604,0.04368682695976888,131.674,Gold-T+21
222,mlp,2017,2013–2016,990,246,9.6846,-0.12642137024355082,0.031848474054560046,0.02590248241818367,131.674,Gold-T+21
223,mlp,2018,2014–2017,988,247,10.334,-0.09186870905994327,0.025609292988546292,0.02169102904340056,131.674,Gold-T+21
224,mlp,2019,2015–2018,989,248,10.7817,-0.3523671573480176,0.037345591758612816,0.027996094846343127,131.674,Gold-T+21
225,mlp,2020,2016–2019,988,251,11.4338,-0.00998992729429915,0.04297237744688548,0.0330995108028465,131.674,Gold-T+21
226,mlp,2021,2017–2020,992,251,10.7827,-0.14673460220670376,0.03915403039562722,0.031227077614141643,131.674,Gold-T+21
227,mlp,2022,2018–2021,997,250,11.1219,-0.0309663797673283,0.044865367941534964,0.037452409899692854,131.674,Gold-T+21
228,mlp,2023,2019–2022,1000,247,10.3492,-0.006158699439841486,0.035097098433649956,0.027201627549656607,131.674,Gold-T+21
229,mlp,2024,2020–2023,999,249,11.3655,-0.12072548001801797,0.03590116325846095,0.029293032823530428,131.674,Gold-T+21
230,mlp,2025,2021–2024,997,177,11.179,-0.9829697622934372,0.05676643248229556,0.04515100873878243,131.674,Gold-T+21
231,ridge,2015,2011–2014,989,249,2.7247,-0.3495822485700706,0.05448136311998384,0.04250788714531477,42.166,Gold-T+28
232,ridge,2016,2012–2015,987,247,2.5732,-0.5709576126872078,0.07086484626087876,0.05724599925502935,42.166,Gold-T+28
233,ridge,2017,2013–2016,990,246,2.6626,-2.6128660129976624,0.05682353657728763,0.04876027515279102,42.166,Gold-T+28
234,ridge,2018,2014–2017,988,247,2.7446,-2.642530590758032,0.05717269084501643,0.05014171521054149,42.166,Gold-T+28
235,ridge,2019,2015–2018,989,248,2.5833,-0.37036400405326253,0.04323659094555027,0.035745151312449694,42.166,Gold-T+28
236,ridge,2020,2016–2019,988,251,2.6372,-1.0741777336334457,0.06705994415024086,0.05033831640089038,42.166,Gold-T+28
237,ridge,2021,2017–2020,992,251,2.6039,-0.7090755469355425,0.05205292598132844,0.036614242485664146,42.166,Gold-T+28
238,ridge,2022,2018–2021,997,250,2.7537,0.03810221153880178,0.04816721769605218,0.03989396804944117,42.166,Gold-T+28
239,ridge,2023,2019–2022,1000,247,2.6728,0.03289828225265112,0.036520578837713605,0.03016002725968286,42.166,Gold-T+28
240,ridge,2024,2020–2023,999,249,2.4221,-1.805296073863591,0.06580590575354729,0.05622090971214162,42.166,Gold-T+28
241,ridge,2025,2021–2024,997,177,2.6401,-0.7705308711594314,0.06054731104329718,0.04871949287519274,42.166,Gold-T+28
242,et,2015,2011–2014,989,249,4.0104,-0.02583600642007511,0.04749930506127667,0.03668782010279858,53.205,Gold-T+28
243,et,2016,2012–2015,987,247,3.5397,-0.12237965840656972,0.05989885342298542,0.04598950384056455,53.205,Gold-T+28
244,et,2017,2013–2016,990,246,3.9821,-1.1598912914573627,0.04393577370737278,0.03783837282390157,53.205,Gold-T+28
245,et,2018,2014–2017,988,247,3.959,-0.027857348325032616,0.030370605567553607,0.02474362567765025,53.205,Gold-T+28
246,et,2019,2015–2018,989,248,3.5393,-0.29862875978435155,0.042089714627332096,0.033442128982711795,53.205,Gold-T+28
247,et,2020,2016–2019,988,251,3.9761,-0.09096260643690202,0.04863457622700355,0.038518777400461834,53.205,Gold-T+28
248,et,2021,2017–2020,992,251,3.732,-0.130909103599254,0.04234268237516257,0.03474898170351476,53.205,Gold-T+28
249,et,2022,2018–2021,997,250,3.8943,-0.06967750935412553,0.050794130436273115,0.04407669593611783,53.205,Gold-T+28
250,et,2023,2019–2022,1000,247,3.7422,-0.006806580497805026,0.037262723824334376,0.02969086414055051,53.205,Gold-T+28
251,et,2024,2020–2023,999,249,3.4659,-0.6224830010602267,0.05004556502137566,0.04118185358331357,53.205,Gold-T+28
252,et,2025,2021–2024,997,177,3.7229,-0.9543905822992769,0.06361342651886245,0.050035110795636537,53.205,Gold-T+28
253,rf,2015,2011–2014,989,249,7.1407,-0.04135822948907797,0.04785731874580521,0.03702323477510027,88.067,Gold-T+28
254,rf,2016,2012–2015,987,247,7.3254,-0.12237965840656972,0.05989885342298542,0.04598950384056455,88.067,Gold-T+28
255,rf,2017,2013–2016,990,246,7.1126,-1.1959059761811477,0.044300558591392626,0.036894342760498536,88.067,Gold-T+28
256,rf,2018,2014–2017,988,247,6.7375,0.10495787520953725,0.02834058214252024,0.023487186387819565,88.067,Gold-T+28
257,rf,2019,2015–2018,989,248,7.4707,-0.29862875978435155,0.042089714627332096,0.033442128982711795,88.067,Gold-T+28
258,rf,2020,2016–2019,988,251,7.5415,-0.09096260643690202,0.04863457622700355,0.038518777400461834,88.067,Gold-T+28
259,rf,2021,2017–2020,992,251,6.4116,-0.130909103599254,0.04234268237516257,0.03474898170351476,88.067,Gold-T+28
260,rf,2022,2018–2021,997,250,6.4237,0.009824631867522915,0.048870092025610885,0.0418350404386528,88.067,Gold-T+28
261,rf,2023,2019–2022,1000,247,6.6307,-0.016494283095169093,0.03744156947630858,0.03074990694076234,88.067,Gold-T+28
262,rf,2024,2020–2023,999,249,6.6863,-0.47617125531327953,0.047735765493978496,0.03922964434395108,88.067,Gold-T+28
263,rf,2025,2021–2024,997,177,6.9536,-0.9542216962132866,0.06361067792428182,0.05003282189424161,88.067,Gold-T+28
264,gbr,2015,2011–2014,989,249,18.3376,-0.04133774303502169,0.047856847999257116,0.03702283174865924,133.851,Gold-T+28
265,gbr,2016,2012–2015,987,247,9.2885,-0.11416439758704122,0.05967923590569774,0.045799175873243246,133.851,Gold-T+28
266,gbr,2017,2013–2016,990,246,9.643,-0.8195631968253512,0.040326070406027606,0.03218176573145071,133.851,Gold-T+28
267,gbr,2018,2014–2017,988,247,9.6233,0.07558165196493727,0.02880191122256231,0.02379365981041229,133.851,Gold-T+28
268,gbr,2019,2015–2018,989,248,11.2574,-0.2935385138446136,0.04200714393255832,0.0333611613013659,133.851,Gold-T+28
269,gbr,2020,2016–2019,988,251,9.6072,-0.039886018437494064,0.047482444908326635,0.03810277258389358,133.851,Gold-T+28
270,gbr,2021,2017–2020,992,251,9.8661,-0.1351577103311652,0.042422144447537814,0.0348176450477679,133.851,Gold-T+28
271,gbr,2022,2018–2021,997,250,14.2175,0.09079933661198303,0.04682922489866761,0.040782415277718344,133.851,Gold-T+28
272,gbr,2023,2019–2022,1000,247,9.645,-0.016884748345855183,0.03744875998803455,0.030736007648108528,133.851,Gold-T+28
273,gbr,2024,2020–2023,999,249,9.761,-0.47644150722908685,0.04774013493676257,0.03923338653964522,133.851,Gold-T+28
274,gbr,2025,2021–2024,997,177,11.2398,-0.9462001550494681,0.06347999153272879,0.04989180571362917,133.851,Gold-T+28
275,catboost,2015,2011–2014,989,249,53.9471,-0.04098823872089441,0.047848816225399035,0.037015850866571914,620.986,Gold-T+28
276,catboost,2016,2012–2015,987,247,52.1846,-0.11396226609928517,0.05967382216247606,0.04579951866656321,620.986,Gold-T+28
277,catboost,2017,2013–2016,990,246,53.5809,-0.9838982353659242,0.042107749202191784,0.03423176728976695,620.986,Gold-T+28
278,catboost,2018,2014–2017,988,247,61.6612,0.11822900560500338,0.02812968917400099,0.023803303240569187,620.986,Gold-T+28
279,catboost,2019,2015–2018,989,248,56.4341,-0.29563259046577417,0.042041132331174,0.03340237343431279,620.986,Gold-T+28
280,catboost,2020,2016–2019,988,251,55.1145,-0.03982115410852494,0.047480963993638776,0.0381030595867091,620.986,Gold-T+28
281,catboost,2021,2017–2020,992,251,62.9286,-0.12510526222288987,0.042233890996077494,0.03464126656391492,620.986,Gold-T+28
282,catboost,2022,2018–2021,997,250,56.0855,0.06865838280656789,0.047395990368073994,0.039914015619132076,620.986,Gold-T+28
283,catboost,2023,2019–2022,1000,247,49.7293,-0.004380815349415146,0.037217806990138484,0.03039822519848998,620.986,Gold-T+28
284,catboost,2024,2020–2023,999,249,52.2383,-0.47660792810326913,0.047742825436548536,0.03923773261898284,620.986,Gold-T+28
285,catboost,2025,2021–2024,997,177,55.3473,-0.9138417973871433,0.06295005680026416,0.04921242560879191,620.986,Gold-T+28
286,xgboost,2015,2011–2014,989,249,11.5281,-0.03283112835349633,0.04766097755564306,0.03671590115488915,150.376,Gold-T+28
287,xgboost,2016,2012–2015,987,247,13.9362,-0.11205724730002253,0.05962277537217737,0.04579133963997549,150.376,Gold-T+28
288,xgboost,2017,2013–2016,990,246,13.1358,-1.4428084675375046,0.046724755809580784,0.03870967491730596,150.376,Gold-T+28
289,xgboost,2018,2014–2017,988,247,11.2855,0.025761930491739693,0.029567838474614465,0.024548610558717546,150.376,Gold-T+28
290,xgboost,2019,2015–2018,989,248,14.4154,-0.29112169844894975,0.04196788303060053,0.03331993786595113,150.376,Gold-T+28
291,xgboost,2020,2016–2019,988,251,11.167,-0.03987856410626889,0.047482274721162,0.03810269142478175,150.376,Gold-T+28
292,xgboost,2021,2017–2020,992,251,10.3717,-0.13090254201099594,0.04234255953785866,0.03474888985410997,150.376,Gold-T+28
293,xgboost,2022,2018–2021,997,250,10.0332,0.25167681225734895,0.04248461616364838,0.03524759273086009,150.376,Gold-T+28
294,xgboost,2023,2019–2022,1000,247,10.316,-0.1567585947308714,0.0399413686457193,0.033435916800591985,150.376,Gold-T+28
295,xgboost,2024,2020–2023,999,249,10.1859,-0.4764425573862434,0.04774015191496157,0.03923345450588985,150.376,Gold-T+28
296,xgboost,2025,2021–2024,997,177,22.014,-0.8929661352641147,0.06260579445763116,0.048976398406195186,150.376,Gold-T+28
297,mlp,2015,2011–2014,989,249,11.2839,-0.021926271668858854,0.04740870238804966,0.03831109033777617,130.283,Gold-T+28
298,mlp,2016,2012–2015,987,247,8.8601,-0.23638786058932748,0.06286746980320461,0.04788178168308434,130.283,Gold-T+28
299,mlp,2017,2013–2016,990,246,9.878,-0.789381490123235,0.039990220823630525,0.03235902902887132,130.283,Gold-T+28
300,mlp,2018,2014–2017,988,247,12.6044,0.02356032066378866,0.02960122872613639,0.025094782296614195,130.283,Gold-T+28
301,mlp,2019,2015–2018,989,248,10.0543,-0.6074248082503277,0.04682726642197145,0.035299544704990936,130.283,Gold-T+28
302,mlp,2020,2016–2019,988,251,11.2276,-0.06196252896402399,0.04798381787550611,0.037599259566409936,130.283,Gold-T+28
303,mlp,2021,2017–2020,992,251,11.5362,-0.3397523674647063,0.04608682430374354,0.03795377515769782,130.283,Gold-T+28
304,mlp,2022,2018–2021,997,250,9.0465,-0.08934900434129323,0.05125905766884737,0.04412996293886261,130.283,Gold-T+28
305,mlp,2023,2019–2022,1000,247,10.9604,0.005097986525999576,0.0370417699226631,0.029785338579314268,130.283,Gold-T+28
306,mlp,2024,2020–2023,999,249,10.1716,-0.6027855515279461,0.04974085299060008,0.04099637744595613,130.283,Gold-T+28
307,mlp,2025,2021–2024,997,177,10.6001,-0.8796344656852191,0.06238494674002295,0.04931769341377832,130.283,Gold-T+28
