,Model,Test_Year,Train_Years,Train_Rows,Test_Rows,Train_Time_Seconds,R2,RMSE,MAE,Total_Run_Time_Seconds,Target
35,gbr,2017,2013–2016,990,246,9.6509,-0.05903365568121077,0.020563146083692745,0.01733843014153273,117.131,Gold-T+7
36,gbr,2018,2014–2017,988,247,9.7099,-0.0016826409699037814,0.014489088361215615,0.011726632895754131,117.131,Gold-T+7
37,gbr,2019,2015–2018,989,248,9.4158,-0.06536084571755718,0.01970070844583498,0.01457151534342168,117.131,Gold-T+7
38,gbr,2020,2016–2019,988,251,9.4107,-0.006790410869472074,0.03273307507992809,0.022670916914882853,117.131,Gold-T+7
39,gbr,2021,2017–2020,992,251,9.1274,-0.03879156462884814,0.023042799473512645,0.016872532897270406,117.131,Gold-T+7
40,gbr,2022,2018–2021,997,250,9.4242,-0.00453035669007118,0.025254228371887642,0.020663811951494946,117.131,Gold-T+7
41,gbr,2023,2019–2022,1000,247,10.0244,-0.0009157315138357269,0.023173689057105793,0.01822556023541717,117.131,Gold-T+7
42,gbr,2024,2020–2023,999,249,10.2097,-0.06217933036392065,0.024535353059253442,0.019214133419009086,117.131,Gold-T+7
43,gbr,2025,2021–2024,997,177,9.384,-0.17134837076969367,0.028877454493709914,0.022163586817747195,117.131,Gold-T+7
44,catboost,2015,2011–2014,989,249,45.3686,-0.009946983695500844,0.024759100190831686,0.019629413089674343,538.275,Gold-T+7
45,catboost,2016,2012–2015,987,247,46.2163,-0.033022932950605544,0.027994989631757,0.022316806321379855,538.275,Gold-T+7
46,catboost,2017,2013–2016,990,246,45.85,-0.08611917781007583,0.020824444290560195,0.017595155925493357,538.275,Gold-T+7
47,catboost,2018,2014–2017,988,247,48.0913,0.005312321271339848,0.014438409543105303,0.01166476180217158,538.275,Gold-T+7
48,catboost,2019,2015–2018,989,248,45.9114,-0.06790013475120027,0.01972417280509327,0.014591546172510404,538.275,Gold-T+7
49,catboost,2020,2016–2019,988,251,47.5334,-0.006491360587575157,0.03272821331215855,0.022664719960957907,538.275,Gold-T+7
50,catboost,2021,2017–2020,992,251,48.6214,-0.041151502510809124,0.023068959064734215,0.016882183609463235,538.275,Gold-T+7
51,catboost,2022,2018–2021,997,250,49.8294,-0.005436522090161544,0.025265616454499627,0.020672710377681387,538.275,Gold-T+7
52,catboost,2023,2019–2022,1000,247,51.054,-0.009569427968633581,0.023273650760307168,0.018353215329235617,538.275,Gold-T+7
53,catboost,2024,2020–2023,999,249,48.7939,-0.056954037171854655,0.024474928952370047,0.019159990306735885,538.275,Gold-T+7
54,catboost,2025,2021–2024,997,177,49.2098,-0.17346694330714008,0.028903557464244035,0.022256191228364704,538.275,Gold-T+7
55,xgboost,2015,2011–2014,989,249,12.0889,-0.008237473130582762,0.02473813677878438,0.019628803859724143,168.633,Gold-T+7
56,xgboost,2016,2012–2015,987,247,11.1397,-0.029610198805980703,0.027948708716054517,0.02240964409405654,168.633,Gold-T+7
57,xgboost,2017,2013–2016,990,246,22.6591,-0.10203495341646818,0.020976468028457977,0.017739727553136013,168.633,Gold-T+7
58,xgboost,2018,2014–2017,988,247,22.8311,0.0035371522324787463,0.0144512875514056,0.011716986155260572,168.633,Gold-T+7
59,xgboost,2019,2015–2018,989,248,10.7901,-0.07095038158737998,0.01975232183027511,0.014655798355352629,168.633,Gold-T+7
60,xgboost,2020,2016–2019,988,251,10.628,-0.003278785464608358,0.03267593970028858,0.022670483085934306,168.633,Gold-T+7
61,xgboost,2021,2017–2020,992,251,10.8371,-0.017263457544733685,0.022802777796374907,0.0167516325367454,168.633,Gold-T+7
